humidity,temperature,luminosity,label
14,25.75,704.87,optimal
11,26.49,817.13,humide
70,16.0,546.43,inconnu
49,14.42,967.04,inconnu
66,33.84,51.67,optimal
44,26.89,504.8,optimal
27,25.11,718.45,optimal
78,33.89,862.64,humide
76,34.97,179.26,humide
67,16.77,800.0,inconnu
29,30.31,552.71,sec
58,16.06,396.55,inconnu
37,34.54,131.72,sec
13,31.71,865.3,humide
87,40.7,157.27,inconnu
17,14.07,309.79,inconnu
90,13.71,290.05,inconnu
45,20.47,871.41,humide
